s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,minimum_rest_dec_margin,maximum_relaxation_strain,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,heat_relaxation_integral,entropy_relaxation_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral
0.0,0,0.2500000000000001,-2.1,0.20214036673420838,0.09980578861122105,0.0021490754871863658,0.1641496547740229,1.0,0.15000000000000002,0.006685420078024355,0.0,34640.95273035712,122.01065615881365,0.0,26.23890052525374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,40,0.25000000099618624,-2.1,0.19657604239257814,0.0999287723287476,0.0021481498963615005,0.1643759868759518,0.9988023482885313,0.15500000000000003,0.00651916839251214,0.021191984490156024,34630.46092824999,122.13564831831408,0.0,26.22949097208806,1.0160928265768706e-10,-2.1183055309847987e-13,-8.90534877817229e-15,-0.7278348144913891,-0.10707626916284446,-0.000749508378016948,0.0,7.199287156164222e-07,7.59613228879137e-07,-5.971525939368428,-0.001424301873347374,3.8666868711967997
0.01,80,0.25000001143416634,-2.1,0.19125189474758336,0.10011232329901465,0.0021474785465305764,0.16471747132772244,0.9955762784629698,0.16000000000000003,0.006358366268944017,0.02684324294763929,34610.29065734355,122.25002163297202,0.0,26.22189165948795,1.3902225288842644e-10,-2.3092638912203256e-13,-9.72248665884875e-15,-2.2473802363006268,-0.19263000648802542,-0.0013563064890788437,0.0,2.783957573615583e-06,3.041162773179827e-06,-12.228616366768268,-0.0028435288147409597,8.000304131410124
0.015,120,0.25000005232484557,-2.1,0.18614521843470647,0.10035599212115827,0.002147058901815141,0.16517515428264362,0.9910013861192515,0.16500000000000004,0.006204765763002967,0.02719192018131711,34580.71133077349,122.35395375809452,0.0,26.21607955725725,2.0419425467327005e-08,-1.4033219031261979e-13,-1.2478656376675162e-14,-4.536861089025486,-0.2569971738536128,-0.0018212752583082927,0.0,5.240326917466835e-06,5.795716175527888e-06,-18.7603002765993,-0.004256786924677416,12.404643683983872
0.02,160,0.25000016130488717,-2.1,0.1812353449910627,0.10065951448555582,0.002146892504941122,0.16575047802776707,0.9858506135987168,0.17000000000000004,0.006062236583040864,0.02568851453741594,34541.848998263005,122.44744832351284,0.0,26.212039436935026,2.045178451610413e-08,-1.3855583347321954e-13,-1.7788022898544645e-14,-7.5859004433882316,-0.30052397905590805,-0.00214519984608951,0.0,7.662354715240539e-06,8.47816708745526e-06,-25.554584671171906,-0.005663186733144271,17.08110307949629
0.025,199,0.25000039686403147,-2.1,0.17650372323014477,0.10102280932731424,0.0021469848768220653,0.16644529281019477,0.9808911102315512,0.17500000000000004,0.005934055267322082,0.023467809222552205,34493.654512084606,122.53030832116556,0.0,26.209761096696262,2.04313470018532e-08,-1.3855583347321954e-13,-1.371366284096486e-14,-11.39805306012397,-0.3235667148515344,-0.002328771690140398,0.0,9.929643243682536e-06,1.0916385214325111e-05,-32.60171943380275,-0.0070618410899996095,22.027674769389577
0.03,238,0.25000084241643267,-2.1,0.17193197316561284,0.10144597857849989,0.002147347161908377,0.16726187250334448,0.9767995060886183,0.18000000000000005,0.005821766745078873,0.0209405822314519,34436.08637918027,122.60240697816269,0.0,26.209236821524353,2.038640232838786e-08,-1.3500311979441904e-13,-1.365388540723434e-14,-15.97625472713262,-0.32649150598775517,-0.002372590701945677,0.0,1.2028162474064187e-05,1.3084863366913671e-05,-39.89500981363895,-0.008451862951049693,27.238504215887463
0.035,277,0.2500016102579358,-2.1,0.16750125426353074,0.1019293078525807,0.002147993205819657,0.168202933105385,0.9741020180249662,0.18500000000000005,0.005725613770005869,0.023256298593516966,34369.11935699138,122.66368094367358,0.0,26.21046049963198,2.048227964795592e-08,-1.5631940186722204e-13,-8.469300020625342e-15,-21.322138327659637,-0.30967420822165775,-0.002277168610515434,0.0,1.3983280834602958e-05,1.5019052843243852e-05,-47.429871207626796,-0.009832363034401584,32.70417622324319
0.04,316,0.2500028454515322,-2.1,0.16319300140300724,0.10247326915842056,0.0021489426093390346,0.1692716563339316,0.9731472356387219,0.19000000000000006,0.005645022623378099,0.02911938936677405,34292.76172805657,122.71410516964694,0.0,26.213427266097426,2.495228447999221e-08,-2.8421709430404007e-13,-1.5504154514316983e-14,-27.434659511637886,-0.27350006847513303,-0.0020429318504175094,0.0,1.583429472455261e-05,1.67805128445141e-05,-55.20310452475812,-0.011202447297156913,38.41228922640621
0.045,355,0.2500047296841571,-2.1,0.15898965673757234,0.10307852460232499,0.0021502190664577556,0.17047171669191566,0.9727583507839234,0.19500000000000006,0.005578925318696769,0.03560279078259021,34207.108254142724,122.7537489095094,0.0,26.218133304712957,2.4911518970561185e-08,-3.197442310920451e-13,-5.713768950595195e-15,-34.30588293478504,-0.21836352851530016,-0.0016702255265347884,0.0,1.7622624862670167e-05,1.8439999959446834e-05,-63.21238358923916,-0.012561214179886569,44.3483188498917
