s,l,required_negative_null,worst_null_direction_cosine,required_negative_radial_plus,required_negative_radial_minus,velocity,heat,electric_density,geometry_rho,geometry_p_r,geometry_j,geometry_p_t,endpoint_rho,endpoint_p_r,endpoint_j,endpoint_p_t,reservoir_rho,reservoir_p_r,reservoir_j,reservoir_p_t
0.0,-2.1,0.03052448772876464,-0.008594958454284467,0.01328214583793018,0.013864874579997478,4.062611865024905e-12,0.24999999999999956,0.016012449073540914,0.002333737565835256,-0.006417215729627872,-0.0001456821854782704,0.008657957029985196,0.0,0.0,0.0,0.0,0.025502481118712127,-0.016012449073540914,3.8554316786179134e-14,0.016012449073540914
0.0,-2.075,0.033601344831977444,-0.005568587398230144,0.01145512129848247,0.011942965687746339,7.19054886885851e-12,0.2500693431968559,0.01732828746673542,0.002841817841495997,-0.006127225417215066,-0.00012253020234117716,0.006670137958059636,-8.535179333010051e-06,-7.331616886359078e-06,-5.691050858228303e-07,3.5079012750955945e-05,0.025757790180350126,-0.01732828746673542,6.0612751202422e-14,0.01732828746673542
0.0,-2.0500000000000003,0.036430671359273525,-0.0037166237635187036,0.0097930335473258,0.010186114559901817,1.1149721362387775e-11,0.2527954127708383,0.01856626634871177,0.003271542309311806,-0.005886389320971209,-0.00010197523445382647,0.005076785619546259,-5.5071537324446915e-05,-4.7198091033048244e-05,-3.7049813931887997e-06,0.00022417622416252367,0.02604326301902367,-0.01856626634871177,8.336642950147883e-14,0.01856626634871177
0.0,-2.025,0.03909838562345497,-0.002424283331087456,0.00832228691878552,0.00861928509019273,1.5281764148929053e-11,0.26835052329185083,0.019714673015351826,0.003631660485442828,-0.005692041154173044,-8.404121569614999e-05,0.003819823618191601,-0.00014486111481558185,-0.00012398262739446932,-9.791672946417515e-06,0.0005859557313032916,0.026393922093320782,-0.019714673015351826,1.0207070910147343e-13,0.019714673015351826
0.0,-2.0,0.04162433956554056,-0.0014863887117517458,0.00706765517306741,0.007272504411677854,1.8664569562056987e-11,0.30314372631471453,0.020789338591869766,0.003931517468198844,-0.005540222780492233,-6.864490599528539e-05,0.0028431382136737187,-0.00025763611417945864,-0.0002203830522917813,-1.743259645539714e-05,0.0010384844099036055,0.026828732238420246,-0.020789338591869766,1.1272268282868645e-13,0.020789338591869766
0.0,-1.975,0.04391697229261456,-0.0008236101101177887,0.005974300906219525,0.006099095129035066,2.0220174078879458e-11,0.34203822262809247,0.021817483573966043,0.004180409434054272,-0.005426217005925765,-5.562271202265144e-05,0.002095061062681076,-0.000361817046601799,-0.00030955850887069215,-2.4424156429214138e-05,0.0014570009913454235,0.02727974957519434,-0.021817483573966043,1.1044796940998091e-13,0.021817483573966043
0.0,-1.9500000000000002,0.04589918432816999,-0.0003904576511001458,0.00500172631684422,0.0050655513667197975,1.855533539249866e-11,0.36517894939104134,0.02282132920813557,0.004387110055161066,-0.005345004968658351,-4.4757447286936675e-05,0.0015298226094682594,-0.00042909351537977056,-0.00036744550458615426,-2.8801184908449044e-05,0.0017302629134125337,0.02769361215638622,-0.02282132920813557,9.0406844231943e-14,0.02282132920813557
0.0,-1.925,0.04776298229754151,-0.00014014776977416555,0.0043149553821367455,0.004339305132825102,1.1447341873687834e-11,0.41537551305768283,0.0238221926092407,0.004559562882615446,-0.005291625629604002,-3.580262193996018e-05,0.0011081733930072462,-0.00044678526431601135,-0.00038320518938804617,-2.9715184318525984e-05,0.001808059801661571,0.028247250573437122,-0.0238221926092407,5.0655151327041553e-14,0.0238221926092407
0.0,-1.9000000000000001,0.049876734906675525,-1.1725209671700392e-05,0.004130195841511979,0.004132341342247966,-5.113071157460653e-12,0.5951168610802897,0.024852102275876083,0.004704718005117572,-0.0052614312831419565,-2.850270557802124e-05,0.0007973872025559231,-0.0004259864374951972,-0.0003662161816575296,-2.7966330371696752e-05,0.001733864060794624,0.029218860208884395,-0.024852102275876083,-2.232754403887729e-14,0.024852102275876083
0.0,-1.875,0.05193155409039436,5.9781382419896154e-05,0.003959322879931651,0.003947850123060008,-3.856036599476479e-11,0.7799235167719685,0.02591916237980133,0.004828483396093774,-0.0052502466557285835,-2.2608647584884044e-05,0.0005708465746137839,-0.0003948872864968522,-0.00034054127728515483,-2.5476836638248204e-05,0.0016201946108887744,0.030186414185444356,-0.02591916237980133,-1.6454679141741599e-13,0.02591916237980133
