initial_l,minimum_preload,min_source_integral
-9.0,-0.0,0.0
-8.9775,-0.0,0.0
-8.955,-0.0,0.0
-8.9325,-0.0,0.0
-8.91,-0.0,0.0
-8.8875,-0.0,0.0
-8.865,-0.0,0.0
-8.8425,-0.0,0.0
-8.82,-0.0,0.0
-8.7975,-0.0,0.0
-8.775,-0.0,0.0
-8.7525,-0.0,0.0
-8.73,-0.0,0.0
-8.7075,-0.0,0.0
-8.685,-0.0,0.0
-8.6625,-0.0,0.0
-8.64,-0.0,0.0
-8.6175,-0.0,0.0
-8.595,-0.0,0.0
-8.5725,-0.0,0.0
-8.55,-0.0,0.0
-8.5275,-0.0,0.0
-8.505,-0.0,0.0
-8.4825,-0.0,0.0
-8.46,-0.0,0.0
-8.4375,-0.0,0.0
-8.415,-0.0,0.0
-8.3925,-0.0,0.0
-8.37,-0.0,0.0
-8.3475,-0.0,0.0
-8.325,-0.0,0.0
-8.3025,-0.0,0.0
-8.28,-0.0,0.0
-8.2575,-0.0,0.0
-8.235,-0.0,0.0
-8.2125,-0.0,0.0
-8.19,-0.0,0.0
-8.1675,-0.0,0.0
-8.145,-0.0,0.0
-8.1225,-0.0,0.0
-8.1,-0.0,0.0
-8.0775,-0.0,0.0
-8.055,-0.0,0.0
-8.0325,-0.0,0.0
-8.01,-0.0,0.0
-7.9875,-0.0,0.0
-7.965,-0.0,0.0
-7.9425,-0.0,0.0
-7.92,-0.0,0.0
-7.8975,-0.0,0.0
-7.875,-0.0,0.0
-7.8525,-0.0,0.0
-7.83,-0.0,0.0
-7.8075,-0.0,0.0
-7.785,-0.0,0.0
-7.7625,-0.0,0.0
-7.74,-0.0,0.0
-7.7175,-0.0,0.0
-7.695,-0.0,0.0
-7.6725,-0.0,0.0
-7.65,-0.0,0.0
-7.6274999999999995,-0.0,0.0
-7.605,-0.0,0.0
-7.5825,-0.0,0.0
-7.5600000000000005,-0.0,0.0
-7.5375,-0.0,0.0
-7.515000000000001,-0.0,0.0
-7.4925,-0.0,0.0
-7.47,-0.0,0.0
-7.4475,-0.0,0.0
-7.425,-0.0,0.0
-7.4025,-0.0,0.0
-7.38,-0.0,0.0
-7.3575,-0.0,0.0
-7.335,-0.0,0.0
-7.3125,-0.0,0.0
-7.29,-0.0,0.0
-7.2675,-0.0,0.0
-7.245,-0.0,0.0
-7.2225,-0.0,0.0
-7.2,-0.0,0.0
-7.1775,-0.0,0.0
-7.155,-0.0,0.0
-7.1325,-0.0,0.0
-7.11,-0.0,0.0
-7.0875,-0.0,0.0
-7.065,-0.0,0.0
-7.0425,-0.0,0.0
-7.02,-0.0,0.0
-6.9975000000000005,-0.0,0.0
-6.975,-0.0,0.0
-6.952500000000001,-0.0,0.0
-6.93,-0.0,0.0
-6.907500000000001,-0.0,0.0
-6.885,-0.0,0.0
-6.862500000000001,-0.0,0.0
-6.84,-0.0,0.0
-6.8175,-0.0,0.0
-6.795,-0.0,0.0
-6.7725,-0.0,0.0
-6.75,-0.0,0.0
-6.7275,-0.0,0.0
-6.705,-0.0,0.0
-6.6825,-0.0,0.0
-6.66,-0.0,0.0
-6.6375,-0.0,0.0
-6.615,-0.0,0.0
-6.5925,-0.0,0.0
-6.57,-0.0,0.0
-6.547499999999999,-0.0,0.0
-6.525,-0.0,0.0
-6.5024999999999995,-0.0,0.0
-6.48,-0.0,0.0
-6.4575,-0.0,0.0
-6.4350000000000005,-0.0,0.0
-6.4125,-0.0,0.0
-6.390000000000001,-0.0,0.0
-6.3675,-0.0,0.0
-6.345000000000001,-0.0,0.0
-6.3225,-0.0,0.0
-6.300000000000001,-0.0,0.0
-6.2775,-0.0,0.0
-6.255,-0.0,0.0
-6.2325,-0.0,0.0
-6.21,-0.0,0.0
-6.1875,-0.0,0.0
-6.165,-0.0,0.0
-6.1425,-0.0,0.0
-6.12,-0.0,0.0
-6.0975,-0.0,0.0
-6.075,-0.0,0.0
-6.0525,-0.0,0.0
-6.03,-0.0,0.0
-6.0075,-0.0,0.0
-5.985,-0.0,0.0
-5.9625,-0.0,0.0
-5.9399999999999995,-0.0,0.0
-5.9175,-0.0,0.0
-5.895,-0.0,0.0
-5.8725000000000005,-0.0,0.0
-5.85,-0.0,0.0
-5.827500000000001,-0.0,0.0
-5.805,-0.0,0.0
-5.782500000000001,-0.0,0.0
-5.76,-0.0,0.0
-5.737500000000001,-0.0,0.0
-5.715,-0.0,0.0
-5.692500000000001,-0.0,0.0
-5.67,-0.0,0.0
-5.6475,-0.0,0.0
-5.625,-0.0,0.0
-5.6025,-0.0,0.0
-5.58,-0.0,0.0
-5.5575,-0.0,0.0
-5.535,-0.0,0.0
-5.5125,-0.0,0.0
-5.49,-0.0,0.0
-5.4675,-0.0,0.0
-5.445,-0.0,0.0
-5.4225,-0.0,0.0
-5.4,-0.0,0.0
-5.3774999999999995,-0.0,0.0
-5.355,-0.0,0.0
-5.3325,-0.0,0.0
-5.3100000000000005,-0.0,0.0
-5.2875,-0.0,0.0
-5.265000000000001,-0.0,0.0
-5.2425,-0.0,0.0
-5.220000000000001,-0.0,0.0
-5.1975,-0.0,0.0
-5.175000000000001,-0.0,0.0
-5.1525,-0.0,0.0
-5.130000000000001,-0.0,0.0
-5.1075,-0.0,0.0
-5.085,-0.0,0.0
-5.0625,-0.0,0.0
-5.04,-0.0,0.0
-5.0175,-0.0,0.0
-4.995,-0.0,0.0
-4.9725,-0.0,0.0
-4.95,-0.0,0.0
-4.9275,-0.0,0.0
-4.905,0.0022657507791887734,-0.0022657507791887734
-4.8825,0.003487742332044837,-0.003487742332044837
-4.86,0.0036898884109747626,-0.0036898884109747626
-4.8375,0.0030100175815095734,-0.0030100175815095734
-4.815,0.0016203143755820263,-0.0016203143755820263
-4.7925,-0.0,0.0
-4.7700000000000005,-0.0,0.0
-4.7475000000000005,-0.0,0.0
-4.7250000000000005,-0.0,0.0
-4.702500000000001,-0.0,0.0
-4.68,-0.0,0.0
-4.6575,-0.0,0.0
-4.635,-0.0,0.0
-4.6125,-0.0,0.0
-4.59,-0.0,0.0
-4.5675,-0.0,0.0
-4.545,-0.0,0.0
-4.5225,-0.0,0.0
-4.5,-0.0,0.0
-4.4775,-0.0,0.0
-4.455,-0.0,0.0
-4.4325,-0.0,0.0
-4.41,-0.0,0.0
-4.3875,-0.0,0.0
-4.365,-0.0,0.0
-4.3425,-0.0,0.0
-4.32,-0.0,0.0
-4.2975,-0.0,0.0
-4.275,-0.0,0.0
-4.2525,-0.0,0.0
-4.23,-0.0,0.0
-4.2075000000000005,-0.0,0.0
-4.1850000000000005,-0.0,0.0
-4.1625000000000005,-0.0,0.0
-4.140000000000001,-0.0,0.0
-4.117500000000001,-0.0,0.0
-4.095,-0.0,0.0
-4.0725,-0.0,0.0
-4.05,-0.0,0.0
-4.0275,-0.0,0.0
-4.005,-0.0,0.0
-3.9825,-0.0,0.0
-3.96,-0.0,0.0
-3.9375,-0.0,0.0
-3.915,-0.0,0.0
-3.8925,-0.0,0.0
-3.87,-0.0,0.0
-3.8475,-0.0,0.0
-3.825,-0.0,0.0
-3.8025,-0.0,0.0
-3.7800000000000002,-0.0,0.0
-3.7575000000000003,-0.0,0.0
-3.7350000000000003,-0.0,0.0
-3.7125000000000004,-0.0,0.0
-3.6900000000000004,-0.0,0.0
-3.6675000000000004,-0.0,0.0
-3.6450000000000005,-0.0,0.0
-3.6225000000000005,-0.0,0.0
-3.6000000000000005,-0.0,0.0
-3.5775000000000006,-0.0,0.0
-3.5550000000000006,-0.0,0.0
-3.5325000000000006,-0.0,0.0
-3.51,-0.0,0.0
-3.4875,-0.0,0.0
-3.465,-0.0,0.0
-3.4425,-0.0,0.0
