s,l,log_gain,source_integral,preload_bound
-1.5,-1.305,0.0,0.0,1.5053484716359615
-1.4975,-1.303459853245093,0.022814628215404243,0.0,1.5053484716359615
-1.495,-1.3019163454569027,0.04549652892737982,0.0,1.5053484716359615
-1.4925,-1.3003695505666397,0.06804631651000526,0.0,1.5053484716359615
-1.49,-1.2988195412944878,0.0904645936865412,0.0,1.5053484716359615
-1.4875,-1.2972663891622886,0.11275195150417015,0.0,1.5053484716359615
-1.485,-1.2957101645061568,0.13490896932161014,0.0,1.5053484716359615
-1.4825,-1.294150936489021,0.15693621480762482,0.0,1.5053484716359615
-1.48,-1.292588773113081,0.17883424395132744,0.0,1.5053484716359615
-1.4775,-1.2910237412321761,0.2006036010820917,0.0,1.5053484716359615
-1.475,-1.2894559065640585,0.22224481889953232,0.0,1.5053484716359615
-1.4725,-1.2878853337025664,0.24375841851311206,0.0,1.5053484716359615
-1.47,-1.286312086129693,0.2651449094904335,0.0,1.5053484716359615
-1.4675,-1.2847362262275444,0.28640478991405816,0.0,1.5053484716359615
-1.465,-1.2831578152901864,0.3075385464459003,0.0,1.5053484716359615
-1.4625,-1.2815769135353745,0.3285466543997687,0.0,1.5053484716359615
-1.46,-1.2799935801161653,0.3494295778210012,0.0,1.5053484716359615
-1.4575,-1.278407873132404,0.3701877695723483,0.0,1.5053484716359615
-1.455,-1.2768198496420915,0.39082167142679064,0.0,1.5053484716359615
-1.4525,-1.2752295656726225,0.4113317141664767,0.0,1.5053484716359615
-1.45,-1.2736370762318998,0.4317183176868642,0.0,1.5053484716359615
-1.4475,-1.2720424353193174,0.451981891106724,0.0,1.5053484716359615
-1.445,-1.2704456959366162,0.47212283288324247,0.0,1.5053484716359615
-1.4425,-1.2688469100986097,0.49214153093192503,0.0,1.5053484716359615
-1.44,-1.2672461288437804,0.5120383627508951,0.0,1.5053484716359615
-1.4375,-1.2656434022447434,0.5318136955495887,0.0,1.5053484716359615
-1.435,-1.2640387794185832,0.5514678863813607,0.0,1.5053484716359615
-1.4325,-1.2624323085370597,0.571001282280439,0.0,1.5053484716359615
-1.43,-1.2608240368366832,0.5904142204015893,0.0,1.5053484716359615
-1.4275,-1.2592140106286644,0.6097070281638558,0.0,1.5053484716359615
-1.425,-1.2576022753087333,0.628880023396928,0.0,1.5053484716359615
-1.4225,-1.2559888753668327,0.6479335144909345,0.0,1.5053484716359615
-1.42,-1.2543738543966871,0.6668678005485229,0.0,1.5053484716359615
-1.4175,-1.252757255105247,0.685683171539819,0.0,1.5053484716359615
-1.415,-1.2511391193220083,0.7043799084596386,0.0,1.5053484716359615
-1.4125,-1.2495194880082128,0.7229582834869953,0.0,1.5053484716359615
-1.41,-1.247898401265928,0.7414185601463725,0.0,1.5053484716359615
-1.4075,-1.2462758983470088,0.7597609934715405,0.0,1.5053484716359615
-1.405,-1.2446520176619424,0.7779858301704706,0.0,1.5053484716359615
-1.4025,-1.243026796788579,0.7960933087920933,0.0,1.5053484716359615
-1.4,-1.24140027248075,0.814083659894744,0.0,1.5053484716359615
-1.3975,-1.2397724806767754,0.8319571062158624,0.0,1.5053484716359615
