x,fixed_impedance,incident_energy,reflected_energy,reflection_energy_fraction,useful_work,impedance_q005,impedance_q500,impedance_q995,impedance_central99_ratio
-2.0984375,0.870722973405025,0.2803387029095762,0.021167043665644168,0.07550524935000373,0.259171659243932,0.5479026439315879,0.621627943485687,3.0559952383948796,5.577624551080751
-2.0953125000000004,0.8842255630442093,0.2732646612786838,0.021181726450639118,0.07751359561651235,0.2520829348280447,0.5584910145322504,0.6305108510775632,3.2773745976846342,5.868267371193991
-2.0921875,0.8971083342883233,0.266383138943356,0.02118430947687172,0.0795257145812685,0.2451988294664843,0.5691492058976636,0.639377562330357,3.6609841911346646,6.432380390236249
-2.0890625,0.9089535532039456,0.25973481250862385,0.02105295488425985,0.08105557618912113,0.23868185762436403,0.5798565096103988,0.6482661556527032,3.8276253623679835,6.600987138938452
-2.0859375,0.9216118449658423,0.2543652609818762,0.0206432599478639,0.0811559718028271,0.23372200103401225,0.5912145530736992,0.6585635572312577,4.091295346796391,6.920153310715918
-2.0828125,0.9415473328454811,0.25077857400231773,0.021004357017743072,0.08375658527171044,0.22977421698457462,0.6033079413062613,0.6701748272319197,4.461285841335005,7.394707637488717
-2.0796875000000004,0.96159514359144,0.24705027576226793,0.0213904292348041,0.08658330442580735,0.22565984652746385,0.6155313366672261,0.6816800362399877,4.899731745472509,7.960166206974843
-2.0765625,0.9816899719686408,0.24317737273436058,0.02180390145584369,0.08966254224508624,0.22137347127851684,0.6278677178823232,0.6930489306530102,5.42276721786796,8.636798904326389
-2.0734375,1.002762465336686,0.23982534727118046,0.02216944946602882,0.0924399765007362,0.21765589780515165,0.6409262243766723,0.7055010191391825,5.979346212536404,9.329226961108619
-2.0703125,1.025000689380289,0.23701464934733474,0.022478536235984746,0.09484028222678938,0.21453611311135,0.6547924280241753,0.7191888217836198,6.539608383123924,9.987299949171799
-2.0671875,1.047432300448648,0.23408177990453882,0.022807254891114292,0.09743284975197705,0.21127452501342459,0.6688602237225979,0.7328959652723579,7.173883959364827,10.725535328499536
-2.0640625000000004,1.0700002260154662,0.2310238378446484,0.023157404258130423,0.1002381592920406,0.20786643358651796,0.6831165586134995,0.7465852860202633,7.90731656284368,11.57535483972591
-2.0609375,1.1168076974221486,0.2285451995719155,0.02295178627809749,0.1004255889910973,0.20559341329381797,0.703201379773726,0.7755960906964101,8.532524291448608,12.133827573253878
-2.0578125,1.188360823342587,0.22705788497325735,0.02254650265715998,0.09929847915132074,0.20451138231609736,0.7298836550271842,0.8218164189018758,9.077924584551939,12.437495376182708
-2.0546875,1.2623054123902255,0.22578555361969674,0.022434496051910374,0.09936196400633343,0.20335105756778638,0.7578235040244728,0.8706252162307574,9.693208093312329,12.790851750883805
-2.0515625,1.3396528490101114,0.22461805304593452,0.022508491114337493,0.1002078453139049,0.20210956193159704,0.7870926069204127,0.9221539724439558,10.282473050776776,13.063866894911
-2.0484375000000004,1.417558055858089,0.22377371335268098,0.02267738813905986,0.1013407151326971,0.20109632521362109,0.8171464808151998,0.9746722128110801,10.891020425157407,13.328112744599148
-2.0453125,1.4961279169850843,0.22321356517233812,0.02289039191323334,0.10254928680324688,0.20032317325910476,0.8479675540865346,1.0281259636443005,11.626459684635298,13.710972346294309
-2.0421875,1.5791157452112645,0.22264627442009172,0.023166270652529183,0.10404966673198753,0.19948000376756256,0.8802207891897359,1.0845689689909506,12.474419797589356,14.171921352905507
-2.0390625,1.6668976582891464,0.22206080125880745,0.023496638184430964,0.10581173287331383,0.1985641630743765,0.9139862250393983,1.1441676661671374,13.4707526639684,14.738463551119416
-2.0359375,1.7557394342707946,0.2216234825076068,0.023833572515344736,0.1075408266564293,0.19778990999226206,0.9485029573769075,1.204657647048428,14.259914216978737,15.034127311963944
-2.0328125000000004,1.8454620060609284,0.22132844960558135,0.024163515941622825,0.10917492073289019,0.1971649336639585,0.9837335919318791,1.2659607945336693,14.997505271421474,15.24549470956768
-2.0296875,1.9403519559829348,0.22099595424439825,0.024522762369734306,0.11096475704082218,0.196473191874664,1.0205662196438243,1.3307003230610543,15.774374869094798,15.4564932343146
-2.0265625,2.040777740180097,0.220621695489374,0.024909569592133793,0.1129062558280155,0.19571212589724013,1.0590884343371196,1.3990397276812205,16.59205623506104,15.666355799122629
-2.0234375,2.188535726143953,0.22176196033651138,0.02539360049487003,0.11450836949825235,0.19636835984164136,1.111291787450879,1.505778742761672,17.944038690146943,16.147009176867602
-2.0203125,2.3874656552628006,0.2244951249301423,0.025982900686832823,0.1157392646941358,0.19851222424330947,1.1786778783178848,1.6568467905510815,19.908981678287187,16.89094369591436
-2.0171875000000004,2.598144783852468,0.227272095481644,0.02659379773159938,0.11701303530132352,0.20067829775004462,1.2500241562699115,1.820555294718332,22.24159336081959,17.79293083998376
-2.0140625,2.82147162746333,0.23008072400396012,0.027214222646825242,0.11828119354473535,0.20286650135713488,1.3255731321813176,1.9976575051716998,25.046044941162958,18.89450256127932
-2.0109375,3.0454567060536153,0.2330165392401344,0.027761805069099706,0.11914092089613378,0.20525473417103476,1.4024866555091136,2.179997445033238,27.51534018141372,19.618967548340372
-2.0078125,3.01593467539408,0.2347515993541213,0.026897768049896797,0.11457970094304527,0.20785383130422452,1.415362889374566,2.1686171767398355,25.17927409575482,17.789977598523357
-2.0046875,2.7528545718757114,0.2352311830510842,0.024681170180139256,0.10492303724366062,0.21055001287094496,1.3702265890564835,1.9750806542917092,19.44294449652627,14.189583424967966
