s,drift_comparison,x,required_negative_null,worst_direction
0.0,0.2,-2.096875,0.12863072789275393,-0.0014034278372174836
0.0,0.2,-2.090625,0.1263350754761917,-0.0012738020298656242
0.0,0.2,-2.084375,0.12433432323668646,-0.0011364165338219156
0.0,0.2,-2.078125,0.12260946213781344,-0.0010038544473462505
0.0,0.2,-2.0718750000000004,0.12113412747356242,-0.0008792629714624097
0.0,0.2,-2.065625,0.11989242885195568,-0.0007631998143272003
0.0,0.2,-2.059375,0.11918266552620722,-0.0006537812437798913
0.0,0.2,-2.053125,0.11897020057388855,-0.0005497955809233256
0.0,0.2,-2.046875,0.11903447290275847,-0.0004511905744629259
0.0,0.2,-2.0406250000000004,0.11935119779217021,-0.00035749919953203846
0.0,0.2,-2.034375,0.11969568544984295,-0.000268408896795035
0.0,0.2,-2.028125,0.12006474597892428,-0.00018369895573083
0.0,0.2,-2.021875,0.12070973382897882,-0.00010206886802763164
0.0,0.2,-2.015625,0.12161765441224721,-2.2376792696294253e-05
0.0,0.2,-2.0093750000000004,0.12253454785506586,5.571307582065643e-05
0.0,0.2,-2.003125,0.12346076093812892,0.0001323812220238521
0.0,0.2,-1.9968750000000002,0.12434081830285394,0.00020758434594007235
0.0,0.2,-1.990625,0.12517802658334837,0.00028115243806854293
0.0,0.2,-1.984375,0.12597331800273903,0.000352936945382039
0.0,0.2,-1.9781250000000001,0.1267298490685605,0.00042274184773798595
0.0,0.2,-1.971875,0.12745231802287682,0.0004904389287459568
0.0,0.2,-1.9656250000000002,0.1281434338956083,0.0005558618092586889
0.0,0.2,-1.959375,0.12881447055888767,0.0006189313158534584
0.0,0.2,-1.953125,0.12946724575787946,0.000679536946316874
0.0,0.2,-1.9468750000000001,0.13011872386928025,0.0007376650161695507
0.0,0.2,-1.940625,0.13076945815153546,0.0007932808379880466
0.0,0.2,-1.9343750000000002,0.13151216255761092,0.0008464910270472773
0.0,0.2,-1.928125,0.13234088101540564,0.0008975340409411939
0.0,0.2,-1.921875,0.13331416398733217,0.0009467461011865417
0.0,0.2,-1.9156250000000001,0.13442083967976146,0.0009944267032670636
0.0,0.2,-1.909375,0.13564126256775627,0.001040975090706146
0.0,0.2,-1.9031250000000002,0.1369689271135999,0.0010869124712974498
0.0,0.2,-1.896875,0.13815714017480116,0.0011327281706011514
0.0,0.2,-1.890625,0.139214520156935,0.0011779816359509877
0.0,0.2,-1.8843750000000001,0.14023573543251355,0.0012222207353684462
0.0,0.2,-1.878125,0.14122293004859582,0.0012652191738659673
0.0,0.2,-1.8718750000000002,0.14221087909102736,0.0013068126336507285
0.0,0.2,-1.865625,0.1431994867286571,0.001346916982489867
0.0,0.2,-1.859375,0.14419046542274336,0.0013855018286285468
0.0,0.2,-1.8531250000000001,0.14518366302978605,0.0014225162997380046
0.0,0.2,-1.846875,0.14618077811600041,0.0014579730291409483
0.0,0.2,-1.8406250000000002,0.1471816133468639,0.0014918931622070967
0.0,0.2,-1.834375,0.1481878592767957,0.0015243857730125926
0.0,0.2,-1.828125,0.1491992864819204,0.0015555912547369115
0.0,0.2,-1.8218750000000001,0.150217794822271,0.001585721855221571
0.0,0.2,-1.815625,0.1512431029658963,0.001614943450198464
0.0,0.2,-1.8093750000000002,0.1522764301752563,0.0016415688245207435
0.0,0.2,-1.803125,0.15331633221496677,0.001658138994175581
0.0,0.2,-1.796875,0.15436304425737743,0.0016646348529821354
0.0,0.2,-1.7906250000000001,0.1554165605360326,0.0016631558126259725
0.0,0.2,-1.784375,0.15647560490707374,0.0016560989128764198
0.0,0.2,-1.7781250000000002,0.1575403541931261,0.0016456950762799524
0.0,0.2,-1.771875,0.15860794470674738,0.0016334839525432379
0.0,0.2,-1.765625,0.1596785350970149,0.001620130172379864
0.0,0.2,-1.7593750000000001,0.16074889058909242,0.0016059629551313992
0.0,0.2,-1.753125,0.1618193120370867,0.001591316365525236
0.0,0.2,-1.7468750000000002,0.1628864540178425,0.0015765203936173111
0.0,0.2,-1.740625,0.16395077405874997,0.0015618138473464682
0.0,0.2,-1.734375,0.1650096428612948,0.001547381571990669
