x_um,section_um,density_proxy
-2.5,-2.5,-0.00023785086812493872
-2.361111111111111,-2.5,-0.0003680516452545053
-2.2222222222222223,-2.5,-0.0005094742051619017
-2.0833333333333335,-2.5,-0.0006592503811008692
-1.9444444444444444,-2.5,-0.0009727616975374142
-1.8055555555555556,-2.5,-0.0013415537820734545
-1.6666666666666665,-2.5,-0.0015837383305365726
-1.5277777777777777,-2.5,-0.0020248818617649455
-1.3888888888888888,-2.5,-0.0027255897092450434
-1.25,-2.5,-0.0036233880759628232
-1.1111111111111112,-2.5,-0.00429719535323965
-0.9722222222222221,-2.5,-0.005154486863332498
-0.8333333333333333,-2.5,-0.006145048092625002
-0.6944444444444444,-2.5,-0.00684273815590914
-0.5555555555555554,-2.5,-0.007586868827962521
-0.4166666666666665,-2.5,-0.007774002558439858
-0.2777777777777777,-2.5,-0.007815199799569123
-0.13888888888888884,-2.5,-0.007381152708329162
0.0,-2.5,-0.007650606731592235
0.13888888888888884,-2.5,-0.007425254828579631
0.2777777777777777,-2.5,-0.006426406856949049
0.41666666666666696,-2.5,-0.006188507537163448
0.5555555555555558,-2.5,-0.005884560483944381
0.6944444444444446,-2.5,-0.005363869749616039
0.8333333333333335,-2.5,-0.005090724741801967
0.9722222222222223,-2.5,-0.004815422807752874
1.1111111111111112,-2.5,-0.004652413579232247
1.25,-2.5,-0.0038821632981564046
1.3888888888888893,-2.5,-0.003456143431223907
1.5277777777777777,-2.5,-0.0027496769246364316
1.666666666666667,-2.5,-0.0024998637607578267
1.8055555555555554,-2.5,-0.001971103548834572
1.9444444444444446,-2.5,-0.0015323249285272018
2.083333333333334,-2.5,-0.0011582499844039389
2.2222222222222223,-2.5,-0.0008231948389204169
2.3611111111111116,-2.5,-0.0005358006384189838
2.5,-2.5,-0.00043730118877179655
-2.5,-2.361111111111111,-0.00035104791255559045
-2.361111111111111,-2.361111111111111,-0.00047182003184581474
-2.2222222222222223,-2.361111111111111,-0.0006228893396345799
-2.0833333333333335,-2.361111111111111,-0.0008753207191669306
-1.9444444444444444,-2.361111111111111,-0.0011790383234937991
-1.8055555555555556,-2.361111111111111,-0.001648545140139261
-1.6666666666666665,-2.361111111111111,-0.0021250867778825045
-1.5277777777777777,-2.361111111111111,-0.002655914954638213
-1.3888888888888888,-2.361111111111111,-0.0034073637638046034
-1.25,-2.361111111111111,-0.004721567311309461
-1.1111111111111112,-2.361111111111111,-0.005775511615500301
-0.9722222222222221,-2.361111111111111,-0.006576802091236477
-0.8333333333333333,-2.361111111111111,-0.008307388491163761
-0.6944444444444444,-2.361111111111111,-0.009037179229794648
-0.5555555555555554,-2.361111111111111,-0.010247548535389946
-0.4166666666666665,-2.361111111111111,-0.011132885091044138
-0.2777777777777777,-2.361111111111111,-0.01047643954701377
-0.13888888888888884,-2.361111111111111,-0.010334395472302886
0.0,-2.361111111111111,-0.010509116422266472
0.13888888888888884,-2.361111111111111,-0.009806917595737423
0.2777777777777777,-2.361111111111111,-0.009352731833809589
0.41666666666666696,-2.361111111111111,-0.008907742289864207
0.5555555555555558,-2.361111111111111,-0.008457458031472046
0.6944444444444446,-2.361111111111111,-0.007860804583872614
0.8333333333333335,-2.361111111111111,-0.006969430450113156
0.9722222222222223,-2.361111111111111,-0.00674777961866435
1.1111111111111112,-2.361111111111111,-0.006226810657996171
1.25,-2.361111111111111,-0.00536033562713908
1.3888888888888893,-2.361111111111111,-0.004624536354670693
1.5277777777777777,-2.361111111111111,-0.0037277536163214295
1.666666666666667,-2.361111111111111,-0.0031815156791452394
1.8055555555555554,-2.361111111111111,-0.0025353110915203505
1.9444444444444446,-2.361111111111111,-0.001965545341782005
2.083333333333334,-2.361111111111111,-0.001468684638528146
2.2222222222222223,-2.361111111111111,-0.0009429775738078033
2.3611111111111116,-2.361111111111111,-0.0007636969143553345
2.5,-2.361111111111111,-0.0005841296692453392
-2.5,-2.2222222222222223,-0.0004935793772645676
-2.361111111111111,-2.2222222222222223,-0.00061735843658721
-2.2222222222222223,-2.2222222222222223,-0.0008358404069804154
-2.0833333333333335,-2.2222222222222223,-0.0011132824726164297
-1.9444444444444444,-2.2222222222222223,-0.0015389144648109466
-1.8055555555555556,-2.2222222222222223,-0.0019460806663714227
-1.6666666666666665,-2.2222222222222223,-0.002724414899709315
-1.5277777777777777,-2.2222222222222223,-0.003489112913395062
-1.3888888888888888,-2.2222222222222223,-0.004579128248977403
-1.25,-2.2222222222222223,-0.005623872028023093
-1.1111111111111112,-2.2222222222222223,-0.007178868013197365
-0.9722222222222221,-2.2222222222222223,-0.008930794837212132
-0.8333333333333333,-2.2222222222222223,-0.01062211670149814
-0.6944444444444444,-2.2222222222222223,-0.012117209219141944
-0.5555555555555554,-2.2222222222222223,-0.013263808860518297
-0.4166666666666665,-2.2222222222222223,-0.014386240091432063
-0.2777777777777777,-2.2222222222222223,-0.015068644240574582
-0.13888888888888884,-2.2222222222222223,-0.014894948086332016
0.0,-2.2222222222222223,-0.014694936298045885
0.13888888888888884,-2.2222222222222223,-0.014251407637763768
0.2777777777777777,-2.2222222222222223,-0.01357927828854208
0.41666666666666696,-2.2222222222222223,-0.012839020532581395
0.5555555555555558,-2.2222222222222223,-0.011693321336433244
0.6944444444444446,-2.2222222222222223,-0.011117608536152901
0.8333333333333335,-2.2222222222222223,-0.010167068396830549
0.9722222222222223,-2.2222222222222223,-0.009345545247926053
1.1111111111111112,-2.2222222222222223,-0.008340653620553308
1.25,-2.2222222222222223,-0.007186894928910947
1.3888888888888893,-2.2222222222222223,-0.005990953995365182
1.5277777777777777,-2.2222222222222223,-0.005023113779630754
1.666666666666667,-2.2222222222222223,-0.003985725447420058
1.8055555555555554,-2.2222222222222223,-0.0032364352903171078
1.9444444444444446,-2.2222222222222223,-0.0024025003025271436
2.083333333333334,-2.2222222222222223,-0.0017168673839949532
2.2222222222222223,-2.2222222222222223,-0.001330066928060098
2.3611111111111116,-2.2222222222222223,-0.0010145718774353188
2.5,-2.2222222222222223,-0.0006862476583421828
-2.5,-2.0833333333333335,-0.0006702339141014826
-2.361111111111111,-2.0833333333333335,-0.000817299824491165
-2.2222222222222223,-2.0833333333333335,-0.0010799448953091706
-2.0833333333333335,-2.0833333333333335,-0.0015343795461439404
-1.9444444444444444,-2.0833333333333335,-0.002036992416238688
-1.8055555555555556,-2.0833333333333335,-0.002525831834217743
-1.6666666666666665,-2.0833333333333335,-0.003424715954312905
-1.5277777777777777,-2.0833333333333335,-0.00451726049813602
-1.3888888888888888,-2.0833333333333335,-0.005535981185706054
-1.25,-2.0833333333333335,-0.0073128048683926096
-1.1111111111111112,-2.0833333333333335,-0.0096332309607005
-0.9722222222222221,-2.0833333333333335,-0.011588735234715443
-0.8333333333333333,-2.0833333333333335,-0.014745389151072123
-0.6944444444444444,-2.0833333333333335,-0.016774330961769467
-0.5555555555555554,-2.0833333333333335,-0.018626462424185686
-0.4166666666666665,-2.0833333333333335,-0.020223086284183536
-0.2777777777777777,-2.0833333333333335,-0.02175005996702978
-0.13888888888888884,-2.0833333333333335,-0.02194652157411255
0.0,-2.0833333333333335,-0.021407775191787697
0.13888888888888884,-2.0833333333333335,-0.02040688974911425
0.2777777777777777,-2.0833333333333335,-0.01988658823732591
0.41666666666666696,-2.0833333333333335,-0.017976845281495034
0.5555555555555558,-2.0833333333333335,-0.01785439498825098
0.6944444444444446,-2.0833333333333335,-0.01635964751670031
0.8333333333333335,-2.0833333333333335,-0.014603017330924282
0.9722222222222223,-2.0833333333333335,-0.012892098455840183
1.1111111111111112,-2.0833333333333335,-0.011533071394531524
1.25,-2.0833333333333335,-0.010125585665801337
1.3888888888888893,-2.0833333333333335,-0.008017580151648761
1.5277777777777777,-2.0833333333333335,-0.006437598813345394
1.666666666666667,-2.0833333333333335,-0.005222509587033387
1.8055555555555554,-2.0833333333333335,-0.00392769166846608
1.9444444444444446,-2.0833333333333335,-0.002918491785967706
2.083333333333334,-2.0833333333333335,-0.002222938047010129
2.2222222222222223,-2.0833333333333335,-0.0016421755966269703
2.3611111111111116,-2.0833333333333335,-0.0012328257442263074
2.5,-2.0833333333333335,-0.0009233702847857925
-2.5,-1.9444444444444444,-0.0008346063944227178
-2.361111111111111,-1.9444444444444444,-0.001211827535977097
-2.2222222222222223,-1.9444444444444444,-0.001499453311864865
-2.0833333333333335,-1.9444444444444444,-0.0019263598435452416
-1.9444444444444444,-1.9444444444444444,-0.0026004875878011817
-1.8055555555555556,-1.9444444444444444,-0.0034033830642005228
-1.6666666666666665,-1.9444444444444444,-0.0042458772416890354
-1.5277777777777777,-1.9444444444444444,-0.005832006404812282
-1.3888888888888888,-1.9444444444444444,-0.007551040221142807
-1.25,-1.9444444444444444,-0.00936676644195542
-1.1111111111111112,-1.9444444444444444,-0.012426938886254055
-0.9722222222222221,-1.9444444444444444,-0.015725012084948857
-0.8333333333333333,-1.9444444444444444,-0.019624972299097626
-0.6944444444444444,-1.9444444444444444,-0.0234800717101617
-0.5555555555555554,-1.9444444444444444,-0.026549085164332978
-0.4166666666666665,-1.9444444444444444,-0.02958274127458486
-0.2777777777777777,-1.9444444444444444,-0.03204870111148612
-0.13888888888888884,-1.9444444444444444,-0.03266812288994202
0.0,-1.9444444444444444,-0.030612423311067147
0.13888888888888884,-1.9444444444444444,-0.029540622535691716
0.2777777777777777,-1.9444444444444444,-0.029835725201981748
0.41666666666666696,-1.9444444444444444,-0.026985356956662255
0.5555555555555558,-1.9444444444444444,-0.025375330314345673
0.6944444444444446,-1.9444444444444444,-0.023316543708687982
0.8333333333333335,-1.9444444444444444,-0.020698301622786342
0.9722222222222223,-1.9444444444444444,-0.01889155037193582
1.1111111111111112,-1.9444444444444444,-0.01661367544595262
1.25,-1.9444444444444444,-0.012784714850665374
1.3888888888888893,-1.9444444444444444,-0.01027171596710772
1.5277777777777777,-1.9444444444444444,-0.008212227370072172
1.666666666666667,-1.9444444444444444,-0.00626944573386132
1.8055555555555554,-1.9444444444444444,-0.004737331638933441
1.9444444444444446,-1.9444444444444444,-0.0034775700969206774
2.083333333333334,-1.9444444444444444,-0.002674676947156585
2.2222222222222223,-1.9444444444444444,-0.00202690639707321
2.3611111111111116,-1.9444444444444444,-0.001523049895837141
2.5,-1.9444444444444444,-0.0012053586834653315
-2.5,-1.8055555555555556,-0.0010758199061143869
-2.361111111111111,-1.8055555555555556,-0.0015070659613581024
-2.2222222222222223,-1.8055555555555556,-0.0020012156885888723
-2.0833333333333335,-1.8055555555555556,-0.0026393836058502397
-1.9444444444444444,-1.8055555555555556,-0.003376260772177616
-1.8055555555555556,-1.8055555555555556,-0.004584161782780036
-1.6666666666666665,-1.8055555555555556,-0.006108219431722948
-1.5277777777777777,-1.8055555555555556,-0.007473771161017033
-1.3888888888888888,-1.8055555555555556,-0.009516449435036052
-1.25,-1.8055555555555556,-0.01248826925887254
-1.1111111111111112,-1.8055555555555556,-0.01659061897087932
-0.9722222222222221,-1.8055555555555556,-0.020671243663948582
